model_id,provider,model_name,capability_family,context_window,max_output_tokens,latency,throughput,input_price,output_price,cache_read_price,cache_write_price,web_search_price,capabilities,source_files,extraction_confidence,notes
alibaba/qwen-3-14b,alibaba,qwen-3-14b,,41K,,03s,77tps,$0.12/M,$0.24/M,,,,,Screenshot 2026-06-30 at 11.00.46 PM.png,medium,
alibaba/qwen-3-235b,alibaba,qwen-3-235b,,262K,,0.4s,78tps,$0.09/M,$0.10/M,,,,,Screenshot 2026-06-30 at 11.00.46 PM.png,medium,
alibaba/qwen-3-30b,alibaba,qwen-3-30b,,41K,,02s,,$0.12/M,$0.50/M,,,,,Screenshot 2026-06-30 at 11.00.46 PM.png,medium,
alibaba/qwen-3-32b,alibaba,qwen-3-32b,,,,02s,363tps,$0.10/M,$0.14/M,,,,,Screenshot 2026-06-30 at 11.00.46 PM.png,medium,
alibaba/qwen-3.6-max-preview,alibaba,qwen-3.6-max-preview,,240K,,14s,,$1.30/M,,,,,,Screenshot 2026-06-30 at 10.59.41 PM.png,medium,
alibaba/qwen3-235b-a22,alibaba,qwen3-235b-a22,,262K,,03s,128tps,$0.23/M,$230/m,$02/M,,,,Screenshot 2026-06-30 at 11.00.35 PM.png,medium,Model id normalized from OCR-visible text.
alibaba/qwen3-coder,alibaba,qwen3-coder,code,262K,,0.4s,102tps,$0.22/M,$0.02/M,,,,,Screenshot 2026-06-30 at 11.00.35 PM.png,medium,Model id normalized from OCR-visible text.
alibaba/qwen3-coder-30b-a3b,alibaba,qwen3-coder-30b-a3b,code,262K,,02s,117tps,$0.15/M,$0.60/M,,,,,Screenshot 2026-06-30 at 11.00.32 PM.png,medium,
alibaba/qwen3-coder-next,alibaba,qwen3-coder-next,code,256K,,04s,83tps,$0.50/M,$1.20/M,,,,,Screenshot 2026-06-30 at 11.00.35 PM.png,medium,
alibaba/qwen3-coder-plus,alibaba,qwen3-coder-plus,code,,,08s,49tps,$1.00/M,,,,,,Screenshot 2026-06-30 at 11.00.35 PM.png,medium,
alibaba/qwen3-embedding-0.6b,alibaba,qwen3-embedding-0.6b,embed,33K,,,,$0.01/M,,,,,,Screenshot 2026-06-30 at 11.00.11 PM.png,high,
alibaba/qwen3-embedding-4b,alibaba,qwen3-embedding-4b,embed,33K,,,,$0.02/M,,,,,,Screenshot 2026-06-30 at 11.00.39 PM.png,high,
